Player Name,Year,Salary,Team,Retained/Bought/Unsold
Prithvi raj,2019,0.2 crore,Kolkata Knight Riders,Bought
Sandeep warrier,2019,0.2 crore,Kolkata Knight Riders,Bought
Chris lynn,2018,9.6 crore,Kolkata Knight Riders,Bought
Andre russell,2018,8.5 crore,Kolkata Knight Riders,Retained
Sunil narine,2018,8.5 crore,Kolkata Knight Riders,Retained
Dinesh karthik,2018,7.4 crore,Kolkata Knight Riders,Bought
Robin uthappa,2018,6.4 crore,Kolkata Knight Riders,Retained
Kuldeep yadav,2018,5.8 crore,Kolkata Knight Riders,Retained
Piyush chawla,2018,4.2 crore,Kolkata Knight Riders,Retained
Nitish rana,2018,3.4 crore,Kolkata Knight Riders,Bought
Shivam mavi,2018,3 crore,Kolkata Knight Riders,Bought
Mitchell johnson,2018,2 crore,Kolkata Knight Riders,Bought
Shubman gill,2018,1.8 crore,Kolkata Knight Riders,Bought
Tom curran,2018,1 crore,Kolkata Knight Riders,Bought
Vinay kumar,2018,1 crore,Kolkata Knight Riders,Bought
Rinku singh,2018,0.8 crore,Kolkata Knight Riders,Bought
Javon searles,2018,0.3 crore,Kolkata Knight Riders,Bought
Prasidh krishna,2018,0.2 crore,Kolkata Knight Riders,Bought
Rishabh pant,2025,27 crore,Lucknow Supergiants,Bought
Nicholas Pooran,2025,21 crore,Lucknow Supergiants,Retained
Mayank Yadav,2025,11 crore,Lucknow Supergiants,Retained
Ravi Bishnoi,2025,11 crore,Lucknow Supergiants,Retained
Avesh khan,2025,9.75 crore,Lucknow Supergiants,Bought
David Miller,2025,7.5 crore,Lucknow Supergiants,Bought
Abdul Samad,2025,4.2 crore,Lucknow Supergiants,Bought
Ayush Badoni,2025,4 crore,Lucknow Supergiants,Retained
Mitchell marsh,2025,3.4 crore,Lucknow Supergiants,Bought
Aiden Markram,2025,2 crore,Lucknow Supergiants,Bought
Aryan Juyal,2025,0.3 crore,Lucknow Supergiants,Bought
Lokesh rahul,2024,17 crore,Lucknow Supergiants,Retained
Marcus Stoinis,2024,9.2 crore,Lucknow Supergiants,Retained
Krunal pandya,2024,8.25 crore,Lucknow Supergiants,Retained
Devdutt Padikkal,2024,7.75 crore,Lucknow Supergiants,Bought
Mark wood,2024,7.5 crore,Lucknow Supergiants,Bought
Quinton de Kock,2024,6.75 crore,Lucknow Supergiants,Retained
Deepak hooda,2024,5.75 crore,Lucknow Supergiants,Retained
Shamar Joseph,2024,4.4 crore,Lucknow Supergiants,Bought
Ravi Bishnoi,2024,4 crore,Lucknow Supergiants,Retained
Shivam mavi,2024,2.00 crore,Lucknow Supergiants,Bought
Ashton turner,2024,1 crore,Lucknow Supergiants,Bought
Krishnappa gowtham,2024,0.9 crore,Lucknow Supergiants,Retained
Amit mishra,2024,0.5 crore,Lucknow Supergiants,Retained
Kyle Mayers,2024,0.5 crore,Lucknow Supergiants,Bought
Naveen-ul-Haq,2024,0.5 crore,Lucknow Supergiants,Retained
Yash Thakur,2024,0.45 crore,Lucknow Supergiants,Retained
Arshad Khan,2024,0.2 crore,Lucknow Supergiants,Bought
Arshin Kulkarni,2024,0.2 crore,Lucknow Supergiants,Bought
Ayush Badoni,2024,0.2 crore,Lucknow Supergiants,Retained
Manimaran Siddharth,2024,0.2 crore,Lucknow Supergiants,Bought
Mayank Yadav,2024,0.2 crore,Lucknow Supergiants,Retained
Prerak Mankad,2024,0.2 crore,Lucknow Supergiants,Retained
Yudhvir Singh,2024,0.2 crore,Lucknow Supergiants,Retained
David willey,2024,0 crore,Lucknow Supergiants,Bought
Karan Sharma,2023,50 crore,Lucknow Supergiants,Bought
Lokesh rahul,2023,17 crore,Lucknow Supergiants,Retained
Nicholas Pooran,2023,16 crore,Lucknow Supergiants,Bought
Avesh khan,2023,10 crore,Lucknow Supergiants,Retained
Marcus Stoinis,2023,9.2 crore,Lucknow Supergiants,Retained
Krunal pandya,2023,8.25 crore,Lucknow Supergiants,Retained
Mark wood,2023,7.5 crore,Lucknow Supergiants,Bought
Quinton de Kock,2023,6.75 crore,Lucknow Supergiants,Retained
Deepak hooda,2023,5.75 crore,Lucknow Supergiants,Retained
Ravi Bishnoi,2023,4 crore,Lucknow Supergiants,Retained
Krishnappa gowtham,2023,0.9 crore,Lucknow Supergiants,Retained
Amit mishra,2023,0.5 crore,Lucknow Supergiants,Bought
Jaydev unadkat,2023,0.5 crore,Lucknow Supergiants,Bought
Kyle Mayers,2023,0.5 crore,Lucknow Supergiants,Bought
Naveen-ul-Haq,2023,0.5 crore,Lucknow Supergiants,Bought
Romario Shepherd,2023,0.5 crore,Lucknow Supergiants,Bought
Yash Thakur,2023,0.45 crore,Lucknow Supergiants,Bought
Ayush Badoni,2023,0.2 crore,Lucknow Supergiants,Retained
Manan vohra,2023,0.20 crore,Lucknow Supergiants,Bought
Prerak Mankad,2023,0.2 crore,Lucknow Supergiants,Bought
Sameer Rizvi,2023,0.20 crore,Lucknow Supergiants,Retained
Swapnil singh,2023,0.2 crore,Lucknow Supergiants,Bought
Yudhvir Singh,2023,0.2 crore,Lucknow Supergiants,Bought
Daniel Sams,2023,0 crore,Lucknow Supergiants,Bought
Lokesh rahul,2022,17 crore,Lucknow Supergiants,Bought
Avesh khan,2022,10 crore,Lucknow Supergiants,Bought
Avesh Khan,2022,"?10,00,00,000 crore",Lucknow Supergiants,Bought
Marcus Stoinis,2022,9.2 crore,Lucknow Supergiants,Bought
Jason holder,2022,8.75 crore,Lucknow Supergiants,Bought
Jason Holder,2022,"?8,75,00,000 crore",Lucknow Supergiants,Bought
Krunal pandya,2022,8.25 crore,Lucknow Supergiants,Bought
Krunal Pandya,2022,"?8,25,00,000 crore",Lucknow Supergiants,Bought
Mark Wood,2022,"?7,50,00,000 crore",Lucknow Supergiants,Bought
Quinton de Kock,2022,6.75 crore,Lucknow Supergiants,Bought
Quinton De Kock,2022,"?6,75,00,000 crore",Lucknow Supergiants,Bought
Deepak hooda,2022,5.75 crore,Lucknow Supergiants,Bought
Deepak Hooda,2022,"?5,75,00,000 crore",Lucknow Supergiants,Bought
Manish pandey,2022,4.6 crore,Lucknow Supergiants,Bought
Manish Pandey,2022,"?4,60,00,000 crore",Lucknow Supergiants,Bought
Ravi Bishnoi,2022,4 crore,Lucknow Supergiants,Bought
Dushmanta Chameera,2022,"?2,00,00,000 crore",Lucknow Supergiants,Bought
Dushmantha Chameera,2022,2 crore,Lucknow Supergiants,Bought
Evin lewis,2022,2 crore,Lucknow Supergiants,Bought
Evin Lewis,2022,"?2,00,00,000 crore",Lucknow Supergiants,Bought
Andrew tye,2022,1 crore,Lucknow Supergiants,Bought
K. Gowtham,2022,"?90,00,000 crore",Lucknow Supergiants,Bought
Krishnappa gowtham,2022,0.9 crore,Lucknow Supergiants,Bought
Ankit Singh Rajpoot,2022,"?50,00,000 crore",Lucknow Supergiants,Bought
Kyle Mayers,2022,"?50,00,000 crore",Lucknow Supergiants,Bought
Shahbaz Nadeem,2022,"?50,00,000 crore",Lucknow Supergiants,Bought
Ayush Badoni,2022,0.2 crore,Lucknow Supergiants,Bought
Karan Sharma,2022,"?20,00,000 crore",Lucknow Supergiants,Bought
Manan Vohra,2022,"?20,00,000 crore",Lucknow Supergiants,Bought
Mayank Yadav,2022,"?20,00,000 crore",Lucknow Supergiants,Bought
Mohsin Khan,2022,"?20,00,000 crore",Lucknow Supergiants,Bought
Sameer Rizvi,2022,0.2 crore,Lucknow Supergiants,Bought
Jasprit bumrah,2025,18 crore,Mumbai Indians,Retained
Hardik pandya,2025,16.35 crore,Mumbai Indians,Retained
Rohit sharma,2025,16.3 crore,Mumbai Indians,Retained
Suryakumar yadav,2025,16.35 crore,Mumbai Indians,Retained
Trent boult,2025,12.5 crore,Mumbai Indians,Bought
Deepak chahar,2025,9.5 crore,Mumbai Indians,Bought
Tilak Varma,2025,8 crore,Mumbai Indians,Retained
Naman Dhir,2025,5.25 crore,Mumbai Indians,Bought
Will Jacks,2025,5.25 crore,Mumbai Indians,Bought
Mitchell santner,2025,2 crore,Mumbai Indians,Bought
Reece Topley,2025,0.75 crore,Mumbai Indians,Bought
Robin Minz,2025,0.65 crore,Mumbai Indians,Bought
Karan Sharma,2025,0.5 crore,Mumbai Indians,Bought
Rohit sharma,2024,16 crore,Mumbai Indians,Retained
Ishan kishan,2024,15.25 crore,Mumbai Indians,Retained
Hardik pandya,2024,15 crore,Mumbai Indians,Bought
Jasprit bumrah,2024,12 crore,Mumbai Indians,Retained
Tim David,2024,8.25 crore,Mumbai Indians,Retained
Suryakumar yadav,2024,8 crore,Mumbai Indians,Retained
Nuwan Thushara,2024,4.8 crore,Mumbai Indians,Bought
Dewald Brevis,2024,3 crore,Mumbai Indians,Retained
Tilak Varma,2024,1.7 crore,Mumbai Indians,Retained
Mohammad nabi,2024,1.5 crore,Mumbai Indians,Bought
Shams Mulani,2024,1.5 crore,Mumbai Indians,Bought
Piyush chawla,2024,0.5 crore,Mumbai Indians,Retained
Romario Shepherd,2024,0.5 crore,Mumbai Indians,Bought
Arjun Tendulkar,2024,0.3 crore,Mumbai Indians,Retained
Naman Dhir,2024,0.3 crore,Mumbai Indians,Bought
Akash Madhwal,2024,0.2 crore,Mumbai Indians,Retained
Anshul Kamboj,2024,0.2 crore,Mumbai Indians,Bought
Kumar Kartikeya,2024,0.2 crore,Mumbai Indians,Retained
Nehal Wadhera,2024,0.2 crore,Mumbai Indians,Retained
Shivalik Sharma,2024,0.2 crore,Mumbai Indians,Bought
Shreyas gopal,2024,0.2 crore,Mumbai Indians,Bought
Vishnu vinod,2024,0.2 crore,Mumbai Indians,Retained
Dilshan Madushanka,2024,0 crore,Mumbai Indians,Bought
Jason behrendorff,2024,0 crore,Mumbai Indians,Bought
Arjun Tendulkar,2023,30 crore,Mumbai Indians,Bought
Cameron Green,2023,17.5 crore,Mumbai Indians,Bought
Rohit sharma,2023,16 crore,Mumbai Indians,Retained
Ishan kishan,2023,15.25 crore,Mumbai Indians,Retained
Tim David,2023,8.25 crore,Mumbai Indians,Retained
Jofra Archer,2023,8 crore,Mumbai Indians,Retained
Suryakumar yadav,2023,8 crore,Mumbai Indians,Retained
Dewald Brevis,2023,3 crore,Mumbai Indians,Retained
Chris jordan,2023,2 crore,Mumbai Indians,Bought
Tilak Varma,2023,1.70 crore,Mumbai Indians,Retained
Jason behrendorff,2023,1.50 crore,Mumbai Indians,Bought
Jhye Richardson,2023,1.5 crore,Mumbai Indians,Bought
Riley Meredith,2023,1.5 crore,Mumbai Indians,Bought
Piyush chawla,2023,0.5 crore,Mumbai Indians,Bought
Arshad Khan,2023,0.2 crore,Mumbai Indians,Retained
Duan Jansen,2023,0.2 crore,Mumbai Indians,Bought
Hrithik Shokeen,2023,0.2 crore,Mumbai Indians,Retained
Kumar Kartikeya,2023,0.2 crore,Mumbai Indians,Bought
Nehal Wadhera,2023,0.2 crore,Mumbai Indians,Bought
Raghav Goyal,2023,0.2 crore,Mumbai Indians,Bought
Ramandeep Singh,2023,0.2 crore,Mumbai Indians,Retained
Tristan Stubbs,2023,0.2 crore,Mumbai Indians,Bought
Vishnu vinod,2023,0.2 crore,Mumbai Indians,Bought
Akash Mandwaal,2023,0 crore,Mumbai Indians,Bought
Rohit sharma,2022,16 crore,Mumbai Indians,Retained
Ishan kishan,2022,15.25 crore,Mumbai Indians,Bought
Ishan Kishan,2022,"?15,25,00,000 crore",Mumbai Indians,Bought
Jasprit bumrah,2022,12 crore,Mumbai Indians,Retained
Tim David,2022,8.25 crore,Mumbai Indians,Bought
Tim David,2022,"?8,25,00,000 crore",Mumbai Indians,Bought
Jofra Archer,2022,"?8,00,00,000 crore",Mumbai Indians,Bought
Suryakumar yadav,2022,8 crore,Mumbai Indians,Retained
Kieron Pollard,2022,6 crore,Mumbai Indians,Retained
Dewald Brevis,2022,3 crore,Mumbai Indians,Bought
Daniel Sams,2022,2.6 crore,Mumbai Indians,Bought
Daniel Sams,2022,"?2,60,00,000 crore",Mumbai Indians,Bought
N. Tilak Varma,2022,"?1,70,00,000 crore",Mumbai Indians,Bought
Tilak Varma,2022,1.7 crore,Mumbai Indians,Bought
Murugan ashwin,2022,1.6 crore,Mumbai Indians,Bought
Murugan Ashwin,2022,"?1,60,00,000 crore",Mumbai Indians,Bought
Tymal mills,2022,1.5 crore,Mumbai Indians,Bought
Tymal Mills,2022,"?1,50,00,000 crore",Mumbai Indians,Bought
Jaydev unadkat,2022,1.3 crore,Mumbai Indians,Bought
Jaydev Unadkat,2022,"?1,30,00,000 crore",Mumbai Indians,Bought
Riley Meredith,2022,"?1,00,00,000 crore",Mumbai Indians,Bought
Fabian Allen,2022,"?75,00,000 crore",Mumbai Indians,Bought
Mayank Markande,2022,"?65,00,000 crore",Mumbai Indians,Bought
Sanjay Yadav,2022,"?50,00,000 crore",Mumbai Indians,Bought
Arjun Tendulkar,2022,"?30,00,000 crore",Mumbai Indians,Bought
Basil thampi,2022,0.3 crore,Mumbai Indians,Bought
Basil Thampi,2022,"?30,00,000 crore",Mumbai Indians,Bought
Anmolpreet singh,2022,0.2 crore,Mumbai Indians,Bought
Anmolpreet Singh,2022,"?20,00,000 crore",Mumbai Indians,Bought
Arshad Khan,2022,0.2 crore,Mumbai Indians,Bought
Aryan Juyal,2022,"?20,00,000 crore",Mumbai Indians,Bought
Hrithik Shokeen,2022,"?20,00,000 crore",Mumbai Indians,Bought
Mohd. Arshad Khan,2022,"?20,00,000 crore",Mumbai Indians,Bought
Rahul Buddhi,2022,"?20,00,000 crore",Mumbai Indians,Bought
Ramandeep Singh,2022,0.2 crore,Mumbai Indians,Bought
Ramandeep Singh,2022,"?20,00,000 crore",Mumbai Indians,Bought
Rohit sharma,2021,15 crore,Mumbai Indians,Retained
Hardik pandya,2021,11 crore,Mumbai Indians,Retained
Krunal pandya,2021,8.8 crore,Mumbai Indians,Retained
Jasprit bumrah,2021,7 crore,Mumbai Indians,Retained
Ishan kishan,2021,6.2 crore,Mumbai Indians,Bought
Kieron Pollard,2021,5.4 crore,Mumbai Indians,Retained
Nathan Coulter-Nile,2021,"5,00,00,000 crore",Mumbai Indians,Unsold
Adam Milne,2021,"3,20,00,000 crore",Mumbai Indians,Unsold
Suryakumar yadav,2021,2.8 crore,Mumbai Indians,Retained
Piyush Chawla,2021,"2,40,00,000 crore",Mumbai Indians,Unsold
Trent boult,2021,2.2 crore,Mumbai Indians,Retained
Chris lynn,2021,2 crore,Mumbai Indians,Bought
Rahul chahar,2021,1.9 crore,Mumbai Indians,Bought
James Neesham,2021,"50,00,000 crore",Mumbai Indians,Unsold
Arjun Tendulkar,2021,"20,00,000 crore",Mumbai Indians,Unsold
Marco Jansen,2021,0.2 crore,Mumbai Indians,Bought
Yudhvir Charak,2021,"20,00,000 crore",Mumbai Indians,Unsold
Rohit sharma,2020,15 crore,Mumbai Indians,Retained
Krunal pandya,2020,8.8 crore,Mumbai Indians,Retained
Nathan coulter nile,2020,8 crore,Mumbai Indians,Bought
Jasprit bumrah,2020,7 crore,Mumbai Indians,Retained
Ishan kishan,2020,6.2 crore,Mumbai Indians,Retained
Kieron Pollard,2020,5.4 crore,Mumbai Indians,Bought
Trent boult,2020,3.2 crore,Mumbai Indians,Bought
Quinton de Kock,2020,2.8 crore,Mumbai Indians,Bought
Suryakumar yadav,2020,2.2 crore,Mumbai Indians,Retained
Chris lynn,2020,2 crore,Mumbai Indians,Bought
Naman Dhir,2020,2 crore,Mumbai Indians,Bought
Rahul chahar,2020,1.9 crore,Mumbai Indians,Retained
Mitchell mcclenaghan,2020,1 crore,Mumbai Indians,Retained
Anmolpreet singh,2020,0.8 crore,Mumbai Indians,Bought
Dhawal kulkarni,2020,0.75 crore,Mumbai Indians,Bought
Jayant yadav,2020,0.5 crore,Mumbai Indians,Bought
Saurabh tiwary,2020,0.5 crore,Mumbai Indians,Bought
Aditya tare,2020,0.2 crore,Mumbai Indians,Bought
Anshul Kamboj,2020,0.2 crore,Mumbai Indians,Bought
Mohammed Shami,2020,0.2 crore,Mumbai Indians,Bought
Sameer Rizvi,2020,0.2 crore,Mumbai Indians,Bought
Hardik pandya,2020,0 crore,Mumbai Indians,Retained
Lasith malinga,2020,0 crore,Mumbai Indians,Bought
Sherfane rutherford,2020,0 crore,Mumbai Indians,Bought
Rohit sharma,2019,15 crore,Mumbai Indians,Retained
Hardik pandya,2019,11 crore,Mumbai Indians,Retained
Krunal pandya,2019,8.8 crore,Mumbai Indians,Retained
Jasprit bumrah,2019,7 crore,Mumbai Indians,Retained
Ishan kishan,2019,6.2 crore,Mumbai Indians,Retained
Kieron Pollard,2019,5.40 crore,Mumbai Indians,Retained
Evin lewis,2019,3.8 crore,Mumbai Indians,Retained
Brainder sran,2019,3.4 crore,Mumbai Indians,Bought
Suryakumar yadav,2019,3.2 crore,Mumbai Indians,Retained
Quinton de Kock,2019,2.8 crore,Mumbai Indians,Bought
Ben cutting,2019,2.2 crore,Mumbai Indians,Bought
Lasith malinga,2019,2 crore,Mumbai Indians,Bought
Rahul chahar,2019,1.9 crore,Mumbai Indians,Bought
Jason behrendorff,2019,1.5 crore,Mumbai Indians,Bought
Mayank markande,2019,1.5 crore,Mumbai Indians,Bought
Mitchell mcclenaghan,2019,1 crore,Mumbai Indians,Retained
Yuvraj singh,2019,1 crore,Mumbai Indians,Bought
Anmolpreet singh,2019,0.8 crore,Mumbai Indians,Bought
Alzarri joseph,2019,0.75 crore,Mumbai Indians,Bought
Anukul roy,2019,0.2 crore,Mumbai Indians,Bought
Siddhesh lad,2019,0.2 crore,Mumbai Indians,Bought
Rasikh salam,2019,0.02 crore,Mumbai Indians,Bought
Jayant yadav,2019,0 crore,Mumbai Indians,Bought
Rohit sharma,2018,15 crore,Mumbai Indians,Retained
Hardik pandya,2018,11 crore,Mumbai Indians,Retained
Krunal pandya,2018,8.8 crore,Mumbai Indians,Bought
Jasprit bumrah,2018,7 crore,Mumbai Indians,Retained
Ishan kishan,2018,6.2 crore,Mumbai Indians,Bought
Kieron Pollard,2018,5.4 crore,Mumbai Indians,Retained
Evin lewis,2018,3.8 crore,Mumbai Indians,Bought
Suryakumar yadav,2018,3.2 crore,Mumbai Indians,Bought
Ben cutting,2018,2.2 crore,Mumbai Indians,Bought
Mustafizur rahman,2018,2.2 crore,Mumbai Indians,Bought
Rahul chahar,2018,1.9 crore,Mumbai Indians,Bought
Pradeep sangwan,2018,1.5 crore,Mumbai Indians,Bought
Jean paul duminy,2018,1 crore,Mumbai Indians,Bought
Mitchell mcclenaghan,2018,1 crore,Mumbai Indians,Bought
Akila dananjaya,2018,0.5 crore,Mumbai Indians,Bought
Aditya tare,2018,0.2 crore,Mumbai Indians,Bought
Mayank markande,2018,0.2 crore,Mumbai Indians,Bought
Shreyas iyer,2025,26.75 crore,Punjab Kings,Bought
Arshdeep singh,2025,18 crore,Punjab Kings,Bought
Yuzvendra chahal,2025,18 crore,Punjab Kings,Bought
Marcus Stoinis,2025,11 crore,Punjab Kings,Bought
Marco Jansen,2025,7 crore,Punjab Kings,Bought
Malsha Tharupathi,2025,5.5 crore,Punjab Kings,Retained
Glenn maxwell,2025,4.2 crore,Punjab Kings,Bought
Nehal Wadhera,2025,4.2 crore,Punjab Kings,Bought
Simran singh,2025,4 crore,Punjab Kings,Retained
Lockie ferguson,2025,2 crore,Punjab Kings,Bought
Vijaykumar Vyshak,2025,1.8 crore,Punjab Kings,Bought
Yash Thakur,2025,1.6 crore,Punjab Kings,Bought
Harpreet brar,2025,1.5 crore,Punjab Kings,Bought
Vishnu vinod,2025,0.95 crore,Punjab Kings,Bought
Sam Curran,2024,18.5 crore,Punjab Kings,Retained
Harshal patel,2024,11.75 crore,Punjab Kings,Retained
Liam Livingstone,2024,11.5 crore,Punjab Kings,Retained
Shikhar dhawan,2024,8.25 crore,Punjab Kings,Retained
Rilee Rossouw,2024,8 crore,Punjab Kings,Bought
Vishwanath Singh,2024,7.8 crore,Punjab Kings,Bought
Jonny bairstow,2024,6.75 crore,Punjab Kings,Bought
Rahul chahar,2024,5.25 crore,Punjab Kings,Retained
Vidwath Kaverappa,2024,5.0 crore,Punjab Kings,Bought
Chris woakes,2024,4.2 crore,Punjab Kings,Bought
Arshdeep singh,2024,4 crore,Punjab Kings,Retained
Harpreet brar,2024,3.8 crore,Punjab Kings,Retained
Jitesh Sharma,2024,2.2 crore,Punjab Kings,Retained
Sikandar Raza,2024,1.5 crore,Punjab Kings,Bought
Nathan Ellis,2024,0.75 crore,Punjab Kings,Retained
Simran singh,2024,0.6 crore,Punjab Kings,Retained
Rishi dhawan,2024,0.55 crore,Punjab Kings,Retained
Ashutosh Sharma,2024,0.2 crore,Punjab Kings,Bought
Atharva Taide,2024,0.2 crore,Punjab Kings,Retained
Harpreet singh,2024,0.2 crore,Punjab Kings,Retained
Malsha Tharupathi,2024,0.2 crore,Punjab Kings,Bought
Prince Choudhary,2024,0.2 crore,Punjab Kings,Bought
Shivam Singh,2024,0.2 crore,Punjab Kings,Bought
Tanay Thyagarajan,2024,0.2 crore,Punjab Kings,Bought
Jitesh Sharma,2023,20 crore,Punjab Kings,Retained
Sam Curran,2023,18.5 crore,Punjab Kings,Bought
Liam Livingstone,2023,11.5 crore,Punjab Kings,Retained
Kagiso Rabada,2023,9.25 crore,Punjab Kings,Retained
Shahrukh Khan,2023,9 crore,Punjab Kings,Retained
Shikhar dhawan,2023,8.25 crore,Punjab Kings,Retained
Rahul chahar,2023,5.25 crore,Punjab Kings,Retained
Arshdeep singh,2023,4 crore,Punjab Kings,Retained
Harpreet brar,2023,3.8 crore,Punjab Kings,Retained
Nathan Ellis,2023,0.75 crore,Punjab Kings,Bought
Simran singh,2023,0.6 crore,Punjab Kings,Bought
Rishi dhawan,2023,0.55 crore,Punjab Kings,Bought
Bhanuka Rajapaksa,2023,0.5 crore,Punjab Kings,Bought
Sikandar Raza,2023,0.5 crore,Punjab Kings,Bought
Atharva Taide,2023,0.2 crore,Punjab Kings,Bought
Gurnoor Brar,2023,0.2 crore,Punjab Kings,Bought
Harpreet singh,2023,0.2 crore,Punjab Kings,Bought
Mohit Rathee,2023,0.2 crore,Punjab Kings,Bought
Matthew Short,2023,0 crore,Punjab Kings,Bought
Mayank agarwal,2022,12 crore,Punjab Kings,Retained
Liam Livingstone,2022,11.5 crore,Punjab Kings,Bought
Kagiso Rabada,2022,"?9,25,00,000 crore",Punjab Kings,Bought
Shahrukh Khan,2022,9 crore,Punjab Kings,Retained
Shikhar dhawan,2022,8.25 crore,Punjab Kings,Bought
Shikhar Dhawan,2022,"?8,25,00,000 crore",Punjab Kings,Bought
Jonny Bairstow,2022,"?6,75,00,000 crore",Punjab Kings,Bought
Odean Smith,2022,6 crore,Punjab Kings,Bought
Odean Smith,2022,"?6,00,00,000 crore",Punjab Kings,Bought
Rahul chahar,2022,5.25 crore,Punjab Kings,Bought
Rahul Chahar,2022,"?5,25,00,000 crore",Punjab Kings,Bought
Arshdeep singh,2022,4 crore,Punjab Kings,Retained
Harpreet brar,2022,3.8 crore,Punjab Kings,Bought
Harpreet Brar,2022,"?3,80,00,000 crore",Punjab Kings,Bought
Raj Angad Bawa,2022,"?2,00,00,000 crore",Punjab Kings,Bought
Raj Bawa,2022,2 crore,Punjab Kings,Bought
Vaibhav Arora,2022,"?2,00,00,000 crore",Punjab Kings,Bought
Nathan Ellis,2022,"?75,00,000 crore",Punjab Kings,Bought
Prabhsimran Singh,2022,"?60,00,000 crore",Punjab Kings,Bought
Simran singh,2022,0.6 crore,Punjab Kings,Retained
Rishi Dhawan,2022,"?55,00,000 crore",Punjab Kings,Bought
Bhanuka Rajapaksa,2022,0.5 crore,Punjab Kings,Bought
Sandeep sharma,2022,0.5 crore,Punjab Kings,Bought
Sandeep Sharma,2022,"?50,00,000 crore",Punjab Kings,Bought
Benny Howell,2022,"?40,00,000 crore",Punjab Kings,Bought
Ishan Porel,2022,"?25,00,000 crore",Punjab Kings,Bought
Ansh Patel,2022,"?20,00,000 crore",Punjab Kings,Bought
Atharva Taide,2022,"?20,00,000 crore",Punjab Kings,Bought
Baltej Dhanda,2022,"?20,00,000 crore",Punjab Kings,Bought
Jitesh Sharma,2022,"?20,00,000 crore",Punjab Kings,Bought
Prerak Mankad,2022,"?20,00,000 crore",Punjab Kings,Bought
Writtick Chatterjee,2022,"?20,00,000 crore",Punjab Kings,Bought
Jhye Richardson,2021,"14,00,00,000 crore",Punjab Kings,Unsold
Riley Meredith,2021,"8,00,00,000 crore",Punjab Kings,Unsold
Shahrukh Khan,2021,"5,25,00,000 crore",Punjab Kings,Unsold
Moises Henriques,2021,"4,20,00,000 crore",Punjab Kings,Unsold
Dawid Malan,2021,"1,50,00,000 crore",Punjab Kings,Unsold
Mayank agarwal,2021,1 crore,Punjab Kings,Retained
Fabian Allen,2021,"75,00,000 crore",Punjab Kings,Unsold
Jalaj Saxena,2021,"30,00,000 crore",Punjab Kings,Unsold
Saurabh Kumar,2021,"20,00,000 crore",Punjab Kings,Unsold
Utkarsh Singh,2021,"20,00,000 crore",Punjab Kings,Unsold
Sanju samson,2025,18 crore,Rajasthan Royals,Retained
Yashasvi Jaiswal,2025,18 crore,Rajasthan Royals,Retained
Dhruv Jurel,2025,14 crore,Rajasthan Royals,Retained
Riyan parag,2025,14 crore,Rajasthan Royals,Retained
Jofra Archer,2025,12.5 crore,Rajasthan Royals,Bought
Shimron hetmyer,2025,11 crore,Rajasthan Royals,Retained
Tushar Deshpande,2025,6.5 crore,Rajasthan Royals,Bought
Wanindu Hasaranga,2025,5.25 crore,Rajasthan Royals,Bought
Maheesh Theekshana,2025,4.4 crore,Rajasthan Royals,Bought
Nitish rana,2025,4.2 crore,Rajasthan Royals,Bought
Sandeep sharma,2025,4 crore,Rajasthan Royals,Retained
Akash Madhwal,2025,1.2 crore,Rajasthan Royals,Bought
Vaibhav Suryavanshi,2025,1.1 crore,Rajasthan Royals,Bought
Kumar Kartikeya,2025,0.3 crore,Rajasthan Royals,Bought
Sanju samson,2024,14 crore,Rajasthan Royals,Retained
Avesh khan,2024,10 crore,Rajasthan Royals,Bought
Jos Buttler,2024,10 crore,Rajasthan Royals,Retained
Shimron hetmyer,2024,8.5 crore,Rajasthan Royals,Retained
Prasidh krishna,2024,8 crore,Rajasthan Royals,Bought
Trent boult,2024,8 crore,Rajasthan Royals,Retained
Rovman powell,2024,"7
7.4 crore",Rajasthan Royals,Bought
Yuzvendra chahal,2024,6.5 crore,Rajasthan Royals,Retained
Ravichandran ashwin,2024,5 crore,Rajasthan Royals,Retained
Yashasvi Jaiswal,2024,4 crore,Rajasthan Royals,Retained
Riyan parag,2024,3.8 crore,Rajasthan Royals,Retained
Navdeep saini,2024,2 crore,Rajasthan Royals,Retained
Sandeep sharma,2024,2 crore,Rajasthan Royals,Bought
Adam zampa,2024,1.5 crore,Rajasthan Royals,Retained
Nandre Burger,2024,0.5 crore,Rajasthan Royals,Bought
Tom Kohler-Cadmore,2024,0.4 crore,Rajasthan Royals,Bought
Abid Mushtaq,2024,0.2 crore,Rajasthan Royals,Bought
Dhruv Jurel,2024,0.2 crore,Rajasthan Royals,Retained
Kuldeep Sen,2024,0.2 crore,Rajasthan Royals,Retained
Kunal Singh Rathore,2024,0.2 crore,Rajasthan Royals,Bought
Shubham Dubey,2024,0.2 crore,Rajasthan Royals,Bought
Kuldeep Sen,2023,20 crore,Rajasthan Royals,Retained
Sanju samson,2023,14 crore,Rajasthan Royals,Retained
Jos Buttler,2023,10 crore,Rajasthan Royals,Retained
Shimron hetmyer,2023,8.5 crore,Rajasthan Royals,Retained
Trent boult,2023,8 crore,Rajasthan Royals,Bought
Devdutt Padikkal,2023,7.75 crore,Rajasthan Royals,Retained
Yuzvendra chahal,2023,6.5 crore,Rajasthan Royals,Retained
